question,answer
told to check apn setting first,"We understand your concern. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
cant hear,"We appreciate you bringing this to our attention. We already have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Sim KYC pending,"Sorry this happened. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
provided with msg center number,"Thank you for your patience. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
no issue from our end,"Thank you for your patience. Our mobile support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
E sim enquiry,"Thank you for your patience. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Phone lost complaint,"We regret the trouble caused. We already have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
told to call back with customer code,"We appreciate you bringing this to our attention. Regarding your internet issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
sim replace but not working.,"We understand this can be frustrating. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"Freeze data 49 from 17598166, reverse to 17318726","We hear you, and we are here to help. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Social app OTP enquiry,"Sorry this happened. Support has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
talktime sharing query,"Your concern is valid, and we are checking it now. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
4G reactivated,"We appreciate you bringing this to our attention. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
Contact number enquiry,"Thanks for reporting this. We already have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
couldnt find isp number. told to check bill,"We appreciate you bringing this to our attention. Regarding your internet issue, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
call silent,"We understand your concern. Our team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
BT app enquiry,"We regret the trouble caused. Our mobile support team has reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
puk code issued.,"We understand your concern. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"sim network issue, reset done",We understand this can be frustrating. Our mobile support team has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored.
"Customer is sharing his grievances about BT services, especially festive offer and bonus.","We regret the trouble caused. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Call wait and hold services enquiry,"Apologies for the disruption. Our team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
LL payment enquiry,"Apologies for the disruption. Regarding your internet issue, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
LL reconnection call,"We understand this can be frustrating. For internet service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Data related call,"Thank you for your patience. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
LL related call,"We hear you, and we are here to help. For your connection concern, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Call inaudible,"We understand your concern. We have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Postpaid bill enquiry,"Apologies for the disruption. For mobile service, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
"Internet issue at chamina,Kabesa under Thimphu dzongkha since 3 weeks ago complaint received from 17110828 kindly check la.","We appreciate you bringing this to our attention. Regarding your mobile issue, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
please reverse the following details,"We regret the trouble caused. Support has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"sim physical issue, told to get replacement","Sorry this happened. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Credit expired warning,"Thanks for reporting this. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"699 freeze from 17561926,transfer to 17532996","We understand your concern. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Inform him to convert balance to data from BT app,"We hear you, and we are here to help. Regarding your mobile issue, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
outgoing inquire,"Thanks for reporting this. For your mobile request, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
"700 amount in B.ngul number,inform to change mpin","Sorry this happened. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Bonus enqurey,"Sorry this happened. Our mobile support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
pp issue,"We hear you, and we are here to help. Our mobile support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Kindly reverse la.,"We appreciate you bringing this to our attention. Our team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
call details,"We regret the trouble caused. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"VOICE 200,799 PACKAGE CHANGE AS PER CUSTOMER REQUEST","We understand your concern. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
17729656 sim info,"We appreciate you bringing this to our attention. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
5g activated as per customer request,"Your concern is valid, and we are checking it now. Our mobile support team has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
PACKAGE TRASNSFER,"Thank you for your patience. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
reset all done,"We understand your concern. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
17798610 sim expired,"Apologies for the disruption. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
bnuel unblocked,"Sorry this happened. For your mobile request, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
"SIM ISSUE,INFORM TO REPLACE SIM","Thanks for reporting this. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
whatsapp info,"We appreciate you bringing this to our attention. We already have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
bngul unblock as per customer request,"We hear you, and we are here to help. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
told to power off on and try Pema Choden | 3Mbps|5.12286|,"We hear you, and we are here to help. Regarding your internet issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"Prank call,","We understand this can be frustrating. Our team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
17716083- sim expires,"We hear you, and we are here to help. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"inform to off data, amount deducting from talking","Thank you for your patience. For your mobile request, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
vivo phone,"Apologies for the disruption. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
sim issue. told to get replacement,"We hear you, and we are here to help. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
sim refreshed,"We understand your concern. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
17656128- net refreshed,"We understand your concern. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"Customer is facing an issue recharging the package, Customer number 17999851 la","Thank you for your patience. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Amount reverse,"We hear you, and we are here to help. We have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
suggested btapp to convert data,"We understand this can be frustrating. Regarding your mobile issue, we have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
package got expire,"Your concern is valid, and we are checking it now. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Tourist sim enquiry,"We hear you, and we are here to help. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
talking nonsense,"We understand your concern. Our team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Inform him to call back from the person who had mistakenly recharge on his number.,"We understand this can be frustrating. For your mobile request, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Unblocked,"We appreciate you bringing this to our attention. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
inform to transfer amount from s to s,"We understand your concern. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
told to call back with isp number or cust code,"Thanks for reporting this. Our internet support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Talkingnonsense,"Thank you for your patience. Our team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
17920118 puck provided,"Your concern is valid, and we are checking it now. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
call drop without providing isp,"We regret the trouble caused. For your connection concern, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
17755124-- calling here without reason. blocked number for the while,"Thanks for reporting this. For your mobile request, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
sim block from phone,"Sorry this happened. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
connect to phone counter1201,"We appreciate you bringing this to our attention. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
no responds,"We hear you, and we are here to help. Support has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
"sim expire,inform to replace sim","Apologies for the disruption. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
call drop by caller when explanning about bill,"We understand this can be frustrating. For mobile service, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
4g sim replace,"Thank you for your patience. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
98041842 puk number,"We regret the trouble caused. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
16010483- recharge query,"Your concern is valid, and we are checking it now. Regarding your mobile issue, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Talking themselves,"Sorry this happened. Our team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"Not connect issue,sim reset fdone","We understand this can be frustrating. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
counter timing query,"Thanks for reporting this. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
97517123823 rate plain,"Thank you for your patience. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
esim inquire,"We understand this can be frustrating. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
ISP020385 provided to pay the bills,"Thanks for reporting this. Our internet support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
1198-12-31 00:00:00,"We hear you, and we are here to help. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Told her to conver tbalance to data from BT app,"Apologies for the disruption. For mobile service, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
SUSPENDED DUE TO NON PAYMENT OF 4 MONTHS,"We regret the trouble caused. For internet service, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Iphone enquiry.,"Thanks for reporting this. Our team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
BILL explained,"Thanks for reporting this. Our internet support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
0498-12-31 00:00:00,"We appreciate you bringing this to our attention. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Counter open or not enquiry,"We understand this can be frustrating. We already have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
inquire about sim,"We hear you, and we are here to help. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"SIM CROSSCHECK,,& BILL AMOUNT","We appreciate you bringing this to our attention. Regarding your mobile issue, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
CRBT activation done,"We appreciate you bringing this to our attention. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
informed to replace the sim 4g,"We appreciate you bringing this to our attention. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
"SIM ISSUE,INF TO REPLACES IM","We understand your concern. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
PHONE INSTALMENT,"We appreciate you bringing this to our attention. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Mialed at complaint handling,"We understand your concern. Regarding your internet issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
recommended my bt app,"We understand this can be frustrating. Regarding your mobile issue, we have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
GMAIL ISSUE,"We understand this can be frustrating. Our team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Told him to convert balance to data from BT app,"We appreciate you bringing this to our attention. For your mobile request, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Nidup Tenzin_17360502|3Mbps|- SHOWING FIBER DOWN . DEPSI,"Sorry this happened. For internet service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
informed to replace the sim to 4g,Thanks for reporting this. Our mobile support team has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored.
bILL CLEARED Nima Lhamo_17110321|4Mbps|4.6481|DDNP_AUG,"We understand this can be frustrating. Our internet support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
sim blocked,"Thanks for reporting this. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"outogins sms issue, told to check sms center number","Sorry this happened. For your mobile request, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
asking bonus,"Your concern is valid, and we are checking it now. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
INFORM TO CALL BANK,"We hear you, and we are here to help. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
scam call.,"Thank you for your patience. We already have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"17944302,,SIM ISSUE TO OTHER","We hear you, and we are here to help. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
17937604 sim active from here,"We hear you, and we are here to help. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
apn instructed,"Your concern is valid, and we are checking it now. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
17820438...CALL SCAMMER,"Your concern is valid, and we are checking it now. We already have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Unblocked and M-PIN reset done,"Thank you for your patience. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
URGENT Bandwidth increase from 15mbps to 25mbps starting from 2nd October till 4th October. Location: Motithang. Overland Bhutan|15Mbps|4.7613| Contact:17111366,"We appreciate you bringing this to our attention. Regarding your internet issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
17820438..CALL SCAMMER,"Thanks for reporting this. Support has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
told to enable caller id,"We understand this can be frustrating. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
bILLING ENQUIRY,"We hear you, and we are here to help. Our internet support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
leaseline temproary disconnect query,"Thanks for reporting this. Regarding your internet issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
OFFER ENQUIRY,"Thank you for your patience. We have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Sonam Jamtsho_17623770|2Mbps|4.9098| TOLD TO POWER OFF/ON AND TRY AGAIN,"Thank you for your patience. Our internet support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
17795772 ZERO BALANCE,"We understand this can be frustrating. For mobile service, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
balance to data conversion enquiry,"Thanks for reporting this. For mobile service, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Sonam Jamtsho_17623770|2Mbps|4.9098 hospital colony,"We hear you, and we are here to help. For internet service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
FREEZE DATA 299 FROM 17258394. REVERSE TO 17258397,"We understand this can be frustrating. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
B.ngul unblock,"We appreciate you bringing this to our attention. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
pocketwifi balance check,"Sorry this happened. Regarding your mobile issue, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Gateway down TERMALINKA HOTEL |40Mbps|4.2548| Contact:17385074 Kindly check la.,"We understand this can be frustrating. Regarding your internet issue, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
prepaid paid pack query,"Your concern is valid, and we are checking it now. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
refreshed,"We regret the trouble caused. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
sim has different ownership,"Sorry this happened. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Line man number provided,"We regret the trouble caused. For internet service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
MADAM WILL CALL BACK,"Your concern is valid, and we are checking it now. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Leaseline issue SABI RAI_17622344|3Mbps|4.7966 Location:Jungshina cONTACT:17527132 KINDLY CHECK LA.,"We understand your concern. For your connection concern, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
data validity extension query,"Thanks for reporting this. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
call not reachable. told to restart and try again,"We regret the trouble caused. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
scam call query,"We regret the trouble caused. We already have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
CALLDROP,"Sorry this happened. We already have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
scammer call,"We hear you, and we are here to help. Support has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
4G ACTIVATION,"We regret the trouble caused. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
go bob query. told to call bank,"Thanks for reporting this. Support has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
PACKAGE ENQUREY,"We regret the trouble caused. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
sim found blocked.,"Sorry this happened. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
NUMBER,"We regret the trouble caused. We already have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
sim active frm here,"We regret the trouble caused. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
17427810 call droped,We regret the trouble caused. Support has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored.
"99 freeze from 17540651,transfer to 17526825","Thanks for reporting this. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
customer informing us that telephone line being lying in pamtsho so called and informed to pelden dubjur and called to sonam norbu but call not responding,"Sorry this happened. Our team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
bt app info,"Your concern is valid, and we are checking it now. Regarding your mobile issue, we have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
tshechu bonus query,"Sorry this happened. Our team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
suspended due to non payment,"Sorry this happened. For mobile service, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Global Reach Chundu Enterprise ECPF_17729323|25Mbps|4.3128| babesa near welcome gate contact 17110601,"Thanks for reporting this. For internet service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
phone lost case,"Apologies for the disruption. We have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
dnet02336696pos always fluctuating since 2 months. Bhutan travel Adventures. informed aue Kuenga,"Your concern is valid, and we are checking it now. Regarding your internet issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
sim was already suspended,"We regret the trouble caused. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Zhiwaling Asscent |30Mbps|4.3212| told to check internal setting,"Thank you for your patience. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
recharge info,"We regret the trouble caused. For your mobile request, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
BILL INQUIRE,"Thank you for your patience. Our internet support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
sim activation code number,"Sorry this happened. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
SIM ACTIVATION CODE GIVEN,"Thanks for reporting this. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
BALANCE INQUIRE,"Your concern is valid, and we are checking it now. Regarding your mobile issue, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
phone avaibale,"Sorry this happened. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
"..HOTEL ROCHOGPEL |100Mbps|4.3781| Internet restore,,inform by kuenga",Thanks for reporting this. Our internet support team has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored.
Informed to try by doing on and off on router,"We understand your concern. Regarding your internet issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
puk number,"We understand your concern. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"Data reversal , data is already used","Apologies for the disruption. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
need bring court order if needed call details,"Sorry this happened. Our team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Inquiry about post paid rate plan,"We regret the trouble caused. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"Freeze data 99 from 17262673, reverse to 17626273 la. Thank you","We understand your concern. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
699 data freezed transfer from 17665356 to 17731732,"We understand your concern. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"Jamyang Pelmo_17538023|3Mbps| lease line issue, location at Taba , customer number 17538023","We appreciate you bringing this to our attention. For your connection concern, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Kindly reverse the amount mentioned below,"We appreciate you bringing this to our attention. Our team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
